latitude,longitude,,,,,
13.5703,100.8116,,,,,
13.5703,100.8116,,,,,
13.5703,100.8116,,,,,
13.5703,100.8116,,,,,
13.5703,100.8116,,,,,
13.5703,100.8117,,,,,
13.5703,100.8117,,,,,
13.5703,100.8117,,,,,
13.5703,100.8117,,,,,
13.5703,100.8117,,,,,
13.5703,100.8117,,,,,
13.5703,100.8117,,,,,
13.5703,100.8117,,,,,
13.5703,100.8116,,,,,
13.5703,100.8116,,,,,
13.5703,100.8116,,,,,
13.5703,100.8116,,,,,
13.5703,100.8116,,,,,
13.5703,100.8116,,,,,
13.5703,100.8116,,,,,
13.5703,100.8116,,,,,
13.5703,100.8116,,,,,
13.5703,100.8116,,,,,
13.5703,100.8116,,,,,
13.5703,100.8116,,,,,
13.5703,100.8116,,,,,
13.5703,100.8116,,,,,
13.5703,100.8116,,,,,
13.5703,100.8116,,,,,
13.5703,100.8116,,,,,
13.5703,100.8116,,,,,
13.5703,100.8116,,,,,
13.5703,100.8116,,,,,
13.5703,100.8116,,,,,
13.5704,100.8116,,,,,
13.5704,100.8116,,,,,
13.5704,100.8116,,,,,
13.5704,100.8116,,,,,
13.5704,100.8116,,,,,
13.5705,100.8116,,,,,
13.5705,100.8116,,,,,
13.5705,100.8116,,,,,
13.5706,100.8116,,,,,
13.5706,100.8116,,,,,
13.5707,100.8116,,,,,
13.5707,100.8116,,,,,
13.5708,100.8117,,,,,
13.5708,100.8117,,,,,
13.5709,100.8117,,,,,
13.5709,100.8117,,,,,
13.571,100.8117,,,,,
13.571,100.8118,,,,,
13.5711,100.8118,,,,,
13.5711,100.8118,,,,,
13.5712,100.8118,,,,,
13.5712,100.8118,,,,,
13.5713,100.8119,,,,,
13.5714,100.8119,,,,,
13.5714,100.8119,,,,,
13.5715,100.812,,,,,
13.5716,100.812,,,,,
13.5717,100.812,,,,,
13.5717,100.812,,,,,
13.5718,100.8121,,,,,
13.5719,100.8121,,,,,
13.572,100.8121,,,,,
13.5721,100.8122,,,,,
13.5722,100.8122,,,,,
13.5723,100.8122,,,,,
13.5724,100.8123,,,,,
13.5725,100.8123,,,,,
13.5726,100.8123,,,,,
13.5726,100.8123,,,,,
13.5727,100.8124,,,,,
13.5728,100.8124,,,,,
13.5728,100.8124,,,,,
13.5728,100.8124,,,,,
13.5729,100.8124,,,,,
13.5729,100.8124,,,,,
13.5729,100.8124,,,,,
13.5729,100.8124,,,,,
13.5729,100.8124,,,,,
13.5729,100.8124,,,,,
13.5729,100.8124,,,,,
13.5729,100.8124,,,,,
13.5729,100.8124,,,,,
13.5729,100.8124,,,,,
13.5729,100.8124,,,,,
13.573,100.8124,,,,,
13.573,100.8124,,,,,
13.573,100.8124,,,,,
13.573,100.8124,,,,,
13.573,100.8124,,,,,
13.573,100.8124,,,,,
13.573,100.8124,,,,,
13.573,100.8124,,,,,
13.573,100.8124,,,,,
13.573,100.8124,,,,,
13.573,100.8124,,,,,
13.573,100.8124,,,,,
13.573,100.8124,,,,,
13.573,100.8124,,,,,
13.573,100.8124,,,,,
13.573,100.8124,,,,,
13.573,100.8124,,,,,
13.573,100.8124,,,,,
13.573,100.8124,,,,,
13.573,100.8124,,,,,
13.573,100.8124,,,,,
13.573,100.8124,,,,,
13.573,100.8124,,,,,
13.573,100.8124,,,,,
13.573,100.8124,,,,,
13.573,100.8125,,,,,
13.5731,100.8125,,,,,
13.5731,100.8125,,,,,
13.5731,100.8125,,,,,
13.5731,100.8125,,,,,
13.5731,100.8125,,,,,
13.5731,100.8125,,,,,
13.5731,100.8125,,,,,
13.5731,100.8125,,,,,
13.5731,100.8125,,,,,
13.5731,100.8125,,,,,
13.5731,100.8125,,,,,
13.5731,100.8125,,,,,
13.5731,100.8125,,,,,
13.5731,100.8125,,,,,
13.5731,100.8125,,,,,
13.5731,100.8125,,,,,
13.5731,100.8125,,,,,
13.5731,100.8125,,,,,
13.5731,100.8125,,,,,
13.5731,100.8125,,,,,
13.5731,100.8125,,,,,
13.5731,100.8125,,,,,
13.5731,100.8125,,,,,
13.5731,100.8125,,,,,
13.5731,100.8125,,,,,
13.5731,100.8125,,,,,
13.5731,100.8125,,,,,
13.5731,100.8125,,,,,
13.5732,100.8125,,,,,
13.5732,100.8125,,,,,
